comparison,budget,n_pairs,wins,losses,ties,mean_diff,median_diff,std_diff,min_diff,max_diff,cohens_dz,rank_biserial,wilcoxon_p,n_nonzero
greedy_token_aware_vs_ilp,POOLED,216,16,161,39,-0.04203963115147352,-0.03452442735433592,0.04053440086635269,-0.1642221167683604,4.8801302554579706e-08,-1.0371346375658488,-0.9827334475972831,8.422228875702858e-30,177
mmr_vs_ilp,96,24,0,24,0,-0.6390345303419357,-0.5624802269041537,0.3511887734359565,-1.3088549196720123,-0.029568459093570754,-1.8196325699416793,-1.0,1.1920928955078125e-07,24
mmr_vs_ilp,128,24,0,24,0,-0.502817331533879,-0.4194367866963148,0.2864150360017805,-1.256463956087828,-0.06208135401830073,-1.7555549406657311,-1.0,1.1920928955078125e-07,24
mmr_vs_ilp,192,24,0,24,0,-0.6780726708432968,-0.6062535755336284,0.3171602720652916,-1.5014428839087488,-0.1640426004305482,-2.137949581225314,-1.0,1.1920928955078125e-07,24
mmr_vs_ilp,256,24,0,24,0,-0.4822716349114973,-0.38602956789545706,0.31308097737174423,-1.2557381592690946,-0.06365585848689115,-1.5404054214985425,-1.0,1.1920928955078125e-07,24
mmr_vs_ilp,384,24,0,24,0,-0.27310881069279275,-0.26058260826393953,0.18257222326609387,-0.6137024059891698,-0.004285021871328176,-1.4958946427176074,-1.0,1.1920928955078125e-07,24
mmr_vs_ilp,512,24,0,24,0,-0.17542620833264663,-0.1659128985367717,0.11745400163322398,-0.4835498411208392,-0.01207912862300864,-1.493573704542257,-1.0,1.1920928955078125e-07,24
mmr_vs_ilp,768,24,1,23,0,-0.1568988005145609,-0.15744749980513006,0.08907293054046554,-0.44357468336820594,2.3841857821338408e-08,-1.761464448991967,-0.9933333333333333,2.384185791015625e-07,24
mmr_vs_ilp,1024,24,1,23,0,-0.147621285354641,-0.14564031437039393,0.06955463414049329,-0.2695184037089349,2.3841857821338408e-08,-2.122378863447991,-0.9933333333333333,2.384185791015625e-07,24
mmr_vs_ilp,2048,24,1,23,0,-0.1476212836161722,-0.14564031437039393,0.06955463327861279,-0.2695184051990509,2.3841857821338408e-08,-2.122378864752982,-0.9933333333333333,2.384185791015625e-07,24
mmr_vs_ilp,POOLED,216,3,213,0,-0.355874728460158,-0.24590518749319012,0.30557370716331367,-1.5014428839087488,2.3841857821338408e-08,-1.1646117454403921,-0.9994879672299027,3.723132447552672e-37,216
