seed,beta_target,redundancy,accepted,beta_hat,D,pearson_r_relevance_tokens,spearman_rho_relevance_tokens,n_usable,n_below_threshold,n_relevance_clipped_low,n_relevance_clipped_high,relevance_mean,relevance_median,relevance_std,relevance_min,relevance_max,tokens_mean,tokens_std,tokens_min,tokens_max,tokens_cv,tokens_total,similarity_mean,similarity_std,similarity_min,similarity_max
5,1.5,low,True,2.091877984512675,0.14666666666666683,0.4714949729666897,0.7178303652693647,13,12,0,1,0.14015744545396008,0.058988895456738064,0.23697036121988777,0.007908336582336646,0.95,81.88,33.612150580804354,33,174,0.4105050144211572,2047,0.05285503295560036,0.1351144859966866,-0.3667220131224109,0.6980508560334945
5,1.5,high,True,2.091877984512675,0.14666666666666683,0.4714949729666897,0.7178303652693647,13,12,0,1,0.14015744545396008,0.058988895456738064,0.23697036121988777,0.007908336582336646,0.95,81.88,33.612150580804354,33,174,0.4105050144211572,2047,0.13438518849304845,0.26293943167143446,-0.2652601589235455,0.7904619594240152
5,2.0,low,True,2.4639383298691486,0.1066666666666668,0.6038342672971924,0.8063089204740559,11,14,0,0,0.12162263981308387,0.04594924646337854,0.18611920928467443,0.006663349957872746,0.819905535603605,81.88,33.612150580804354,33,174,0.4105050144211572,2047,0.05084970387685514,0.13226406167480426,-0.3646063405525712,0.3972573027502123
5,2.0,high,True,2.4639383298691486,0.1066666666666668,0.6038342672971924,0.8063089204740559,11,14,0,0,0.12162263981308387,0.04594924646337854,0.18611920928467443,0.006663349957872746,0.819905535603605,81.88,33.612150580804354,33,174,0.4105050144211572,2047,0.1361742020946826,0.2659210979698355,-0.26351959222789356,0.7908580683642261
6,-0.5,low,True,0.04360472645265507,0.32666666666666677,0.04252251011381384,-0.04078492029483339,11,14,0,0,0.06822938245101835,0.04269181683820766,0.07630715894063324,0.004287926492685854,0.3429940603030527,109.12,77.55660298560444,44,314,0.71074599510268,2728,0.033678111052379264,0.1353448707356067,-0.2874017134627327,0.4061880681894287
6,-0.5,high,True,0.04360472645265507,0.32666666666666677,0.04252251011381384,-0.04078492029483339,11,14,0,0,0.06822938245101835,0.04269181683820766,0.07630715894063324,0.004287926492685854,0.3429940603030527,109.12,77.55660298560444,44,314,0.71074599510268,2728,0.12681861057143318,0.2683567556603056,-0.19555334099888824,0.7896672465820009
6,0.0,low,True,0.5547923670217976,0.32666666666666677,0.4980350442156423,0.19161217270591538,11,14,0,0,0.07835871578235508,0.03882339049730044,0.08558584342651257,0.0034561919114617303,0.2753203031422777,109.12,77.55660298560444,44,314,0.71074599510268,2728,0.034868587853337324,0.13561542322710432,-0.2873310177822687,0.40118848124808715
6,0.0,high,True,0.5547923670217976,0.32666666666666677,0.4980350442156423,0.19161217270591538,11,14,0,0,0.07835871578235508,0.03882339049730044,0.08558584342651257,0.0034561919114617303,0.2753203031422777,109.12,77.55660298560444,44,314,0.71074599510268,2728,0.12765338010030575,0.26828799292872213,-0.19548063163760224,0.7904694575633737
6,0.5,low,True,1.0435618434627798,0.2333333333333335,0.7738100409393673,0.32012314797454133,10,15,0,0,0.09986975779496482,0.03504569538756666,0.1391509183862639,0.003103394056637894,0.5078827268325509,109.12,77.55660298560444,44,314,0.71074599510268,2728,0.03721352613109799,0.13630541228646928,-0.2872241238580535,0.4298343063544615
6,0.5,high,True,1.0435618434627798,0.2333333333333335,0.7738100409393673,0.32012314797454133,10,15,0,0,0.09986975779496482,0.03504569538756666,0.1391509183862639,0.003103394056637894,0.5078827268325509,109.12,77.55660298560444,44,314,0.71074599510268,2728,0.12822227996777055,0.26605976691813316,-0.19529654295592863,0.7907565997687266
