seed,beta,redundancy,w_sat,w_sat_proven,w_sat_status,w_sat_n_selected,corpus_token_mass,budget_tight,budget_medium,budget_loose,ordered,max_rho_dev,min_token,tight_affords_one,runtime_s
14,0.0,low,923,True,proven_optimal,11,2157,231,554,1384,True,0.0005417118093173912,41,True,0.018844292033463717
14,0.0,high,737,True,proven_optimal,9,2157,184,442,1106,True,0.0006784260515604323,41,True,0.017711499938741326
14,0.5,low,923,True,proven_optimal,11,2157,231,554,1384,True,0.0005417118093173912,41,True,0.017510458012111485
14,0.5,high,681,True,proven_optimal,8,2157,170,409,1022,True,0.0007342143906019505,41,True,0.017228416982106864
14,1.0,low,1061,True,proven_optimal,11,2157,265,637,1592,True,0.00047125353440158335,41,True,0.017708875006064773
14,1.0,high,839,True,proven_optimal,8,2157,210,503,1258,True,0.0005959475566150729,41,True,0.024615707923658192
14,1.5,low,1061,True,proven_optimal,11,2157,265,637,1592,True,0.00047125353440158335,41,True,0.01683833298739046
14,1.5,high,839,True,proven_optimal,8,2157,210,503,1258,True,0.0005959475566150729,41,True,0.016001082956790924
14,2.0,low,1238,True,proven_optimal,12,2157,310,743,1857,True,0.00040387722132473325,41,True,0.01542499999050051
14,2.0,high,781,True,proven_optimal,7,2157,195,469,1172,True,0.000640204865556937,41,True,0.016940208966843784
15,-0.5,low,999,True,proven_optimal,11,2141,250,599,1498,True,0.0005005005005005447,33,True,0.016660040942952037
15,-0.5,high,718,True,proven_optimal,9,2141,180,431,1077,True,0.0006963788300835549,33,True,0.027154500014148653
15,0.0,low,950,True,proven_optimal,10,2141,238,570,1425,True,0.000526315789473708,33,True,0.017908709007315338
15,0.0,high,890,True,proven_optimal,9,2141,222,534,1335,True,0.0005617977528089846,33,True,0.018653915962204337
15,0.5,low,1161,True,proven_optimal,11,2141,290,697,1742,True,0.00043066322136087187,33,True,0.018001458956860006
15,0.5,high,959,True,proven_optimal,9,2141,240,575,1438,True,0.0005213764337852478,33,True,0.02966866595670581
15,1.0,low,1161,True,proven_optimal,11,2141,290,697,1742,True,0.00043066322136087187,33,True,0.019404415972530842
15,1.0,high,1004,True,proven_optimal,9,2141,251,602,1506,True,0.00039840637450194727,33,True,0.12567712494637817
15,1.5,low,1212,True,proven_optimal,11,2141,303,727,1818,True,0.00016501650165012816,33,True,0.0388316250173375
15,1.5,high,1066,True,proven_optimal,9,2141,266,640,1599,True,0.00046904315196999447,33,True,0.052263707970269024
15,2.0,low,1417,True,proven_optimal,12,2141,354,850,2126,True,0.0003528581510232609,33,True,0.09887274994980544
15,2.0,high,1142,True,proven_optimal,9,2141,286,685,1713,True,0.0004378283712784814,33,True,0.04238570900633931
16,-0.5,low,1019,True,proven_optimal,11,2191,255,611,1528,True,0.0004906771344455052,34,True,0.04753687500488013
16,-0.5,high,505,True,proven_optimal,5,2191,126,303,758,True,0.000990099009900991,34,True,0.11256224999669939
16,0.0,low,1019,True,proven_optimal,11,2191,255,611,1528,True,0.0004906771344455052,34,True,0.16842666699085385
16,0.0,high,667,True,proven_optimal,6,2191,167,400,1000,True,0.0007496251874063997,34,True,0.09467708307784051
16,0.5,low,1041,True,proven_optimal,10,2191,260,625,1562,True,0.0004803073967338811,34,True,0.041751167038455606
16,0.5,high,629,True,proven_optimal,5,2191,157,377,944,True,0.0007949125596184992,34,True,0.06412825000006706
16,1.0,low,1082,True,proven_optimal,10,2191,270,649,1623,True,0.00046210720887246426,34,True,0.041413749917410314
16,1.0,high,729,True,proven_optimal,6,2191,182,437,1094,True,0.000685871056241405,34,True,0.04950120905414224
16,1.5,low,1132,True,proven_optimal,11,2191,283,679,1698,True,0.00017667844522961662,34,True,0.0822759170550853
16,1.5,high,762,True,proven_optimal,6,2191,190,457,1143,True,0.0006561679790026143,34,True,0.04595800000242889
16,2.0,low,1236,True,proven_optimal,11,2191,309,742,1854,True,0.00032362459546930733,34,True,0.08510566700715572
16,2.0,high,762,True,proven_optimal,6,2191,190,457,1143,True,0.0006561679790026143,34,True,0.10004625003784895
17,-0.5,low,1086,True,proven_optimal,9,2681,272,652,1629,True,0.0004604051565377798,31,True,0.016569375060498714
17,-0.5,high,870,True,proven_optimal,7,2681,218,522,1305,True,0.0005747126436781436,31,True,0.06894370901864022
17,0.0,low,1086,True,proven_optimal,9,2681,272,652,1629,True,0.0004604051565377798,31,True,0.017002583015710115
