adv_feasible_at_medium,adversarial_cap,adversarial_indices,adversarial_tokens_after,arm,beta_hat,beta_target,budget_loose,budget_medium,budget_tight,budgets_ordered,corpus_token_mass,elapsed_s,gamma,min_token,n_topics_used,n_unique_relevance,n_unique_tokens,pearson,redundancy_level,relevance_max,relevance_mean,relevance_min,relevance_std,rho_c,rho_dev_loose,rho_dev_medium,rho_dev_tight,rho_realized_loose,rho_realized_medium,rho_realized_tight,rl_condition,saturation_fraction,seed,similarity_max,similarity_mean,similarity_min,similarity_std,spearman,tight_affords_min_token,tokens_cv,tokens_max,tokens_mean,tokens_min,tokens_std,tokens_total,validation_ok,w_sat,w_sat_n_selected,w_sat_pre_intervention,w_sat_pre_proven,w_sat_proven,w_sat_status
,,,,synthetic,-0.4033969219857471,-0.5,2313,925,386,True,2197,0.03015899658203125,0.15,29,5,25,24,-0.39221312304550526,low,0.45615175634056193,0.25920205928809975,0.08640247438318971,0.10191205515451497,-0.5,0.0,0.00012970168612191912,0.0003242542153047978,1.5,0.5998702983138781,0.2503242542153048,C,0.701866181156122,2,0.4583189844474463,0.08363501519061785,-0.2834487785753492,0.13690597443916538,-0.47624544062351204,True,0.4791006471266404,194,87.88,29,42.103364869489155,2197,True,1542,18,,,True,proven_optimal
,,,,synthetic,-0.4033969219857471,-0.5,1269,508,212,True,2197,0.3105502128601074,0.7,29,5,25,24,-0.39221312304550526,high,0.45615175634056193,0.25920205928809975,0.08640247438318971,0.10191205515451497,-0.5,0.0,0.00047281323877068626,0.0005910165484633301,1.5,0.6004728132387707,0.25059101654846333,C,0.38507055075102414,2,0.8112924001372745,0.16537245553836907,-0.1623697704290685,0.25961101264307873,-0.47624544062351204,True,0.4791006471266404,194,87.88,29,42.103364869489155,2197,True,846,12,,,True,proven_optimal
True,759,"[14, 5, 10, 4]","[402, 444, 732, 690]",synthetic,0.01242400214861706,,5366,2146,894,True,4072,0.060096025466918945,0.15,30,5,25,24,0.04600037591847842,low,0.45615175634056193,0.25920205928809975,0.08640247438318971,0.10191205515451497,0.0,0.00013978194017338907,5.591277606931122e-05,6.989097008666678e-05,1.5001397819401734,0.5999440872239307,0.24993010902991333,D,0.8784381139489195,2,0.4583189844474463,0.08363501519061785,-0.2834487785753492,0.13690597443916538,0.03000577089550399,True,0.5430837719538963,224,87.28,30,47.40035161613607,2182,True,3577,18,1687,True,True,proven_optimal
True,462,"[14, 5, 10, 4]","[402, 444, 462, 462]",synthetic,0.01242400214861706,,3627,1451,604,True,3574,0.6768538951873779,0.7,30,5,25,24,0.04600037591847842,high,0.45615175634056193,0.25920205928809975,0.08640247438318971,0.10191205515451497,0.0,0.0,8.271298593875986e-05,0.00020678246484698293,1.5,0.6000827129859387,0.24979321753515302,D,0.676552881925014,2,0.8112924001372745,0.16537245553836907,-0.1623697704290685,0.25961101264307873,0.03000577089550399,True,0.5430837719538963,224,87.28,30,47.40035161613607,2182,True,2418,12,1026,True,True,proven_optimal
,,,,synthetic,0.01346807690979212,0.0,2938,1175,490,True,2437,0.035121917724609375,0.15,27,5,25,23,-0.10552475160774416,low,0.5726539469902237,0.29630241846813554,0.1171116669008645,0.11789313627094655,0.0,0.0002552322613578184,0.0002041858090862103,0.0001276161306789092,1.4997447677386422,0.5997958141909138,0.2501276161306789,A,0.8038572014772261,3,0.5890370035224313,0.11799317109665694,-0.22517232187309233,0.12880217525659363,-0.00692574118214152,True,0.4611115763462972,182,97.48,27,44.94915646223705,2437,True,1959,19,,,True,proven_optimal
,,,,synthetic,0.01346807690979212,0.0,1734,694,289,True,2437,0.6801049709320068,0.7,27,5,25,23,-0.10552475160774416,high,0.5726539469902237,0.29630241846813554,0.1171116669008645,0.11789313627094655,0.0,0.0,0.00034602076124568004,0.0,1.5,0.6003460207612457,0.25,A,0.4743537135822733,3,0.8012299938144424,0.20938598612105302,-0.08447757718711067,0.24162943643182208,-0.00692574118214152,True,0.4611115763462972,182,97.48,27,44.94915646223705,2437,True,1156,12,,,True,proven_optimal
,,,,synthetic,0.44894279023723216,0.5,3194,1277,532,True,2559,0.035176992416381836,0.15,34,5,25,24,0.5267805390165439,low,0.5726539469902237,0.29630241846813554,0.1171116669008645,0.11789313627094655,0.5,0.0002348520432127188,0.00018788163457017504,0.00011742602160638715,1.5002348520432127,0.5998121183654298,0.2498825739783936,B,0.8319656115670183,3,0.5890370035224313,0.11799317109665694,-0.22517232187309233,0.12880217525659363,0.5577995871600101,True,0.4193647610374748,185,102.36,34,42.926176939795916,2559,True,2129,19,,,True,proven_optimal
,,,,synthetic,0.44894279023723216,0.5,2176,871,363,True,2559,0.571605920791626,0.7,34,5,25,24,0.5267805390165439,high,0.5726539469902237,0.29630241846813554,0.1171116669008645,0.11789313627094655,0.5,0.00034458993797370496,0.0002756719503790306,0.000172294968986908,1.4996554100620263,0.600275671950379,0.2501722949689869,B,0.5670183665494334,3,0.8012299938144424,0.20938598612105302,-0.08447757718711067,0.24162943643182208,0.5577995871600101,True,0.4193647610374748,185,102.36,34,42.926176939795916,2559,True,1451,12,,,True,proven_optimal
,,,,synthetic,-0.4015043250673723,-0.5,2584,1034,431,True,2258,0.032195091247558594,0.15,28,5,25,24,-0.5064295225019558,low,0.5726539469902237,0.29630241846813554,0.1171116669008645,0.11789313627094655,-0.5,0.0002901915264075239,0.00011607661056300955,0.00014509576320370643,1.4997098084735925,0.600116076610563,0.2501450957632037,C,0.7630646589902569,3,0.5890370035224313,0.11799317109665694,-0.22517232187309233,0.12880217525659363,-0.5497211103804513,True,0.4976409618171389,192,90.32,28,44.94693167132398,2258,True,1723,19,,,True,proven_optimal
,,,,synthetic,-0.4015043250673723,-0.5,1341,536,224,True,2258,0.6314420700073242,0.7,28,5,25,24,-0.5064295225019558,high,0.5726539469902237,0.29630241846813554,0.1171116669008645,0.11789313627094655,-0.5,0.0,0.0004474272930649059,0.0005592841163311046,1.5,0.5995525727069351,0.2505592841163311,C,0.395925597874225,3,0.8012299938144424,0.20938598612105302,-0.08447757718711067,0.24162943643182208,-0.5497211103804513,True,0.4976409618171389,192,90.32,28,44.94693167132398,2258,True,894,12,,,True,proven_optimal
